읍면동,연도,항목,값
선장면,2015,가구-계 (가구),1482.0
선장면,2015,일반가구 (가구),1426.0
선장면,2015,집단가구 (가구),7.0
선장면,2015,외국인가구 (가구),49.0
선장면,2015,주택_계 (호),1183.0
선장면,2015,주택_단독주택 (호),1171.0
선장면,2015,주택_아파트 (호),
선장면,2015,주택_연립주택 (호),
선장면,2015,주택_다세대주택 (호),
선장면,2015,주택_비주거용 건물 내 주택 (호),12.0
선장면,2015,주택 이외의 거처_계 (호),62.0
선장면,2020,총인구 (명),3408.0
선장면,2020,남자 (명),1948.0
선장면,2020,여자 (명),1460.0
선장면,2020,내국인-계 (명),2886.0
선장면,2020,내국인-남자 (명),1479.0
선장면,2020,내국인-여자 (명),1407.0
선장면,2020,외국인-계 (명),522.0
선장면,2020,외국인-남자 (명),469.0
선장면,2020,외국인-여자 (명),53.0
선장면,2020,가구-계 (가구),1481.0
선장면,2020,일반가구 (가구),1400.0
선장면,2020,집단가구 (가구),8.0
선장면,2020,외국인가구 (가구),73.0
선장면,2020,주택_계 (호),1180.0
선장면,2020,주택_단독주택 (호),1165.0
선장면,2020,주택_아파트 (호),
선장면,2020,주택_연립주택 (호),
선장면,2020,주택_다세대주택 (호),
선장면,2020,주택_비주거용 건물 내 주택 (호),15.0
선장면,2020,주택 이외의 거처_계 (호),110.0
도고면,2015,총인구 (명),4756.0
도고면,2015,남자 (명),2404.0
도고면,2015,여자 (명),2352.0
도고면,2015,내국인-계 (명),4589.0
도고면,2015,내국인-남자 (명),2303.0
도고면,2015,내국인-여자 (명),2286.0
도고면,2015,외국인-계 (명),167.0
도고면,2015,외국인-남자 (명),101.0
도고면,2015,외국인-여자 (명),66.0
도고면,2015,가구-계 (가구),1993.0
도고면,2015,일반가구 (가구),1948.0
도고면,2015,집단가구 (가구),7.0
도고면,2015,외국인가구 (가구),38.0
도고면,2015,주택_계 (호),1796.0
도고면,2015,주택_단독주택 (호),1499.0
도고면,2015,주택_아파트 (호),14.0
도고면,2015,주택_연립주택 (호),50.0
도고면,2015,주택_다세대주택 (호),199.0
도고면,2015,주택_비주거용 건물 내 주택 (호),34.0
도고면,2015,주택 이외의 거처_계 (호),92.0
도고면,2020,총인구 (명),4578.0
도고면,2020,남자 (명),2250.0
도고면,2020,여자 (명),2328.0
도고면,2020,내국인-계 (명),4463.0
도고면,2020,내국인-남자 (명),2183.0
도고면,2020,내국인-여자 (명),2280.0
도고면,2020,외국인-계 (명),115.0
도고면,2020,외국인-남자 (명),67.0
도고면,2020,외국인-여자 (명),48.0
도고면,2020,가구-계 (가구),2001.0
도고면,2020,일반가구 (가구),1963.0
도고면,2020,집단가구 (가구),
도고면,2020,외국인가구 (가구),35.0
도고면,2020,주택_계 (호),1845.0
도고면,2020,주택_단독주택 (호),1500.0
도고면,2020,주택_아파트 (호),14.0
도고면,2020,주택_연립주택 (호),50.0
도고면,2020,주택_다세대주택 (호),246.0
도고면,2020,주택_비주거용 건물 내 주택 (호),35.0
도고면,2020,주택 이외의 거처_계 (호),134.0
신창면,2015,총인구 (명),30346.0
신창면,2015,남자 (명),15934.0
신창면,2015,여자 (명),14412.0
신창면,2015,내국인-계 (명),26924.0
신창면,2015,내국인-남자 (명),13846.0
신창면,2015,내국인-여자 (명),13078.0
신창면,2015,외국인-계 (명),3422.0
신창면,2015,외국인-남자 (명),2088.0
신창면,2015,외국인-여자 (명),1334.0
신창면,2015,가구-계 (가구),11094.0
신창면,2015,일반가구 (가구),9942.0
신창면,2015,집단가구 (가구),15.0
신창면,2015,외국인가구 (가구),1137.0
신창면,2015,주택_계 (호),10563.0
신창면,2015,주택_단독주택 (호),1576.0
신창면,2015,주택_아파트 (호),8740.0
신창면,2015,주택_연립주택 (호),16.0
신창면,2015,주택_다세대주택 (호),184.0
